,am_ep,paradiselost,fq1596,fowre_hymnes,axiochus,prothalamion
able,0.0,10.917310515547959,29.632699970773032,0.0,4.678847363806268,0.0
abler,0.0,0.0,2.252762968495368,0.0,0.0,0.0
ablocke,0.0,0.0,2.252762968495368,0.0,0.0,0.0
aboard,0.0,0.0,6.758288905486104,0.0,0.0,0.0
abodes,1.8472978603872037,0.0,1.8472978603872037,0.0,0.0,0.0
abolish,0.0,5.541893581161611,1.8472978603872037,0.0,0.0,0.0
abolished,0.0,2.252762968495368,0.0,0.0,0.0,0.0
abominable,0.0,4.505525936990736,0.0,0.0,0.0,0.0
abominably,0.0,0.0,2.252762968495368,0.0,0.0,0.0
abominations,0.0,2.252762968495368,0.0,0.0,0.0,0.0
abortive,0.0,6.758288905486104,0.0,0.0,0.0,0.0
abound,0.0,3.1192315758708453,28.073084182837608,0.0,0.0,1.5596157879354227
abounded,0.0,1.8472978603872037,1.8472978603872037,0.0,0.0,0.0
abounding,0.0,0.0,3.6945957207744073,0.0,1.8472978603872037,0.0
abounds,0.0,1.8472978603872037,1.8472978603872037,0.0,0.0,0.0
abraham,0.0,13.516577810972208,0.0,0.0,0.0,0.0
abrahams,0.0,4.505525936990736,0.0,0.0,0.0,0.0
abraid,0.0,0.0,13.516577810972208,0.0,0.0,0.0
abray,0.0,0.0,2.252762968495368,0.0,0.0,0.0
abridge,0.0,0.0,3.6945957207744073,1.8472978603872037,0.0,0.0
abridged,0.0,0.0,4.505525936990736,0.0,0.0,0.0
abridgement,0.0,0.0,2.252762968495368,0.0,0.0,0.0
abroad,0.0,1.5596157879354227,59.265399941546065,4.678847363806268,0.0,0.0
abrupt,0.0,2.252762968495368,0.0,0.0,0.0,0.0
abruptly,0.0,0.0,2.252762968495368,0.0,0.0,0.0
absence,4.678847363806268,7.798078939677113,1.5596157879354227,0.0,0.0,0.0
absens,2.252762968495368,0.0,0.0,0.0,0.0,0.0
absent,0.0,5.541893581161611,9.236489301936018,0.0,0.0,0.0
absents,0.0,4.505525936990736,0.0,0.0,0.0,0.0
absolute,0.0,18.022103747962944,0.0,0.0,0.0,0.0
absolutely,0.0,2.252762968495368,0.0,0.0,0.0,0.0
absolve,0.0,4.505525936990736,0.0,0.0,0.0,0.0
absolved,0.0,2.252762968495368,0.0,0.0,0.0,0.0
abstained,0.0,2.252762968495368,0.0,0.0,0.0,0.0
abstinence,0.0,2.252762968495368,0.0,0.0,0.0,0.0
abstract,0.0,2.252762968495368,0.0,0.0,0.0,0.0
abstracted,0.0,2.252762968495368,0.0,0.0,0.0,0.0
abstruse,0.0,2.252762968495368,0.0,0.0,0.0,0.0
abstrusest,0.0,2.252762968495368,0.0,0.0,0.0,0.0
abundance,0.0,4.678847363806268,6.238463151741691,0.0,1.5596157879354227,0.0
abundant,0.0,3.1192315758708453,6.238463151741691,0.0,3.1192315758708453,0.0
abus,0.0,0.0,2.252762968495368,0.0,0.0,0.0
abuse,0.0,3.1192315758708453,26.513468394902183,1.5596157879354227,0.0,0.0
abused,0.0,1.5596157879354227,24.953852606966763,4.678847363806268,0.0,0.0
abuser,0.0,0.0,2.252762968495368,0.0,0.0,0.0
abuses,0.0,0.0,4.505525936990736,0.0,0.0,0.0
abusion,0.0,0.0,4.505525936990736,0.0,0.0,0.0
abusions,0.0,0.0,2.252762968495368,0.0,0.0,0.0
aby,0.0,0.0,27.709467905808054,1.8472978603872037,0.0,0.0
abyss,0.0,33.251361486969664,5.541893581161611,0.0,0.0,0.0
academy,0.0,0.0,0.0,0.0,2.252762968495368,0.0
acanthus,0.0,2.252762968495368,0.0,0.0,0.0,0.0
accaron,0.0,2.252762968495368,0.0,0.0,0.0,0.0
accent,0.0,3.6945957207744073,1.8472978603872037,0.0,0.0,0.0
acceptable,0.0,4.505525936990736,0.0,0.0,0.0,0.0
acceptance,0.0,7.798078939677113,0.0,1.5596157879354227,3.1192315758708453,0.0
accepted,0.0,6.758288905486104,0.0,0.0,0.0,0.0
accepting,0.0,0.0,6.758288905486104,0.0,0.0,0.0
accepts,0.0,3.6945957207744073,1.8472978603872037,0.0,0.0,0.0
