is,148
ouerblowne,1
when,177
weening,3
returne,8
whence,9
stray,7
cannot,8
finde,4
path,7
showne,2
wander,3
fro,13
wayes,11
vnknowne,7
furthest,4
end,31
neerest,1
weene,9
makes,9
doubt,7
wits,1
be,121
owne,26
turnings,1
seene,18
take,26
diuerse,3
been,2
resoluing,2
fare,6
beaten,5
bare,17
lead,7
labyrinth,1
about,42
tract,2
hunted,1
length,9
brought,40
hollow,13
caue,6
amid,2
thickest,2
woods,9
champion,9
stout,17
eftsoones,13
dismounted,1
courser,5
needlesse,4
spere,1
well,95
aware,2
quoth,53
least,8
suddaine,4
mischiefe,1
ye,49
rash,6
prouoke,2
danger,2
hid,6
place,47
wilde,7
breedes,3
dreadfull,24
doubts,1
oft,30
without,14
smoke,10
perill,8
show,10
therefore,12
your,61
stroke,16
sir,20
hold,21
further,10
triall,2
made,67
ah,21
said,63
shame,17
reuoke,1
shade,9
vertue,5
giues,4
selfe,57
darkenesse,3
wade,1
yea,2
better,11
wot,1
though,15
late,40
wish,3
disgrace,7
wisedome,7
warnes,1
whilest,5
foot,14
gate,8
stay,23
steppe,1
ere,14
forced,6
retrate,2
wandring,19
wood,15
errours,2
den,4
monster,9
god,41
does,59
hate,9
read,7
beware,3
fly,17
fearefull,13
no,61
men,24
greedy,9
hardiment,2
youthfull,1
could,84
ought,14
staide,2
vnto,85
darksome,4
hole,3
went,12
looked,4
glistring,7
armor,1
litle,12
glooming,2
saw,47
vgly,6
halfe,16
serpent,2
horribly,1
displaide,1
th,49
other,48
womans,2
shape,6
retaine,1
lothsom,1
filthie,4
disdaine,7
durtie,3
ground,49
huge,25
taile,7
ouerspred,3
knots,3
boughtes,1
vpwound,1
pointed,3
mortall,17
sting,8
bred,8
thousand,11
yong,1
ones,1
dayly,5
fed,7
sucking,1
poisonous,1
dugs,2
each,31
sundry,4
shapes,3
fauored,1
soone,41
vncouth,7
shone,8
mouth,8
crept,2
suddain,1
gone,4
dam,3
vpstart,1
effraide,1
rushed,2
hurling,1
cursed,17
head,31
folds,2
displaid,4
entraile,1
lookt,4
seeing,11
mayle,2
armed,4
point,13
turne,13
againe,39
hated,8
bale,6
ay,8
wont,22
desert,3
darknesse,8
where,98
none,33
might,100
see,58
nor,57
valiant,2
elfe,7
perceiu,5
lept,4
lyon,17
flying,11
pray,27
trenchand,2
blade,12
boldly,4
kept,8
turning,8
therewith,20
enrag,4
loudly,5
gan,112
bray,3
speckled,2
aduaunst,3
threatning,3
dismay,11
who,111
nought,32
aghast,6
enhaunst,2
down,3
shoulder,3
glaunst,1
daunted,4
dint,8
sence,6
dazd,2
kindling,2
gathered,2
attonce,5
beastly,8
body,15
raizd,1
doubled,3
forces,7
high,57
aboue,15
tho,8
wrapping,1
vp,76
wrethed,1
arownd,2
traine,11
suddenly,4
stirre,6
stroue,7
vaine,46
wrapt,3
endlesse,14
sore,35
constraint,5
cride,4
shew,16
what,72
bee,25
add,1
faith,14
faint,13
strangle,2
else,15
sure,9
thee,40
heard,26
perplexitie,5
gall,3
grate,2
griefe,27
knitting,3
got,7
free,13
wherewith,11
grypt,1
gorge,3
paine,30
loose,9
wicked,18
bands,11
constraine,6
spewd,1
filthy,15
maw,4
floud,1
poyson,3
lumpes,1
flesh,15
gobbets,2
raw,4
stunck,1
vildly,2
forst,12
slacke,2
grasping,2
vomit,1
bookes,4
papers,1
loathly,4
frogs,1
toades,1
eyes,38
lacke,4
creeping,6
weedy,1
gras,6
parbreake,1
defiled,2
has,14
father,7
nilus,1
gins,4
swell,2
timely,7
aegyptian,1
vale,2
fattie,1
waues,8
do,60
fertile,1
slime,2
outwell,1
ouerflow,1
dale,4
later,2
spring,5
auale,1
heapes,3
mudd,1
leaues,7
breed,3
ten,2
kindes,2
creatures,3
partly,2
male,1
female,1
seed,3
such,71
monstrous,14
elswhere,1
may,51
reed,1
annoyed,1
welnigh,1
choked,1
stinke,1
faile,4
ne,78
longer,2
fight,31
corage,6
shrinke,3
poured,2
hellish,8
sinke,2
spawne,1
serpents,1
small,5
deformed,9
monsters,3
fowle,25
inke,1
swarming,2
legs,1
crall,1
encombred,3
hurt,4
shepheard,2
euen,6
tide,3
ruddy,1
welke,1
west,4
hill,12
flocke,4
vewen,1
byte,1
hasty,6
supper,1
best,14
cloud,9
combrous,1
gnattes,1
molest,2
striuing,2
infixe,1
stings,3
noyance,1
rest,41
clownish,1
hands,21
tender,18
wings,8
brusheth,1
mar,1
murmurings,1
bestedd,1
certaine,3
stood,22
furious,15
resolv,1
minde,2
win,12
lose,3
before,45
once,17
would,88
lin,2
strooke,3
manly,11
sin,12
raft,1
hatefull,3
remorse,5
streame,9
cole,1
black,3
bloud,50
gushed,2
corse,14
scattred,2
brood,9
parent,1
rudely,10
falling,4
groning,4
troublous,6
feare,55
gathred,1
themselues,18
wonted,8
entrance,5
found,32
withstood,2
flocked,2
sucked,1
mothers,5
blood,11
making,6
death,56
detestable,1
sight,53
amazde,1
vnkindly,1
impes,1
heauen,41
accurst,2
deuoure,1
gazd,2
satisfide,2
thurst,1
bellies,1
swolne,3
fulnesse,1
burst,1
bowels,2
gushing,3
worthy,10
drunke,5
nurst,1
needeth,2
lenger,9
labour,10
spend,5
foes,10
slaine,13
should,30
contend,3
chaunst,12
approcht,1
hast,27
greet,6
victorie,6
borne,19
happy,5
vanquisht,5
armorie,1
glory,6
wonne,14
proou,2
strength,10
strong,28
enimie,1
henceforth,7
succeed,1
mounted,4
backward,7
wend,3
bend,4
follow,9
frend,5
passed,6
trauelled,1
meet,12
aged,18
sire,13
weedes,4
feete,5
beard,3
hoarie,4
gray,4
belt,1
hanging,2
sober,9
seemde,7
very,4
sagely,1
bent,11
simple,8
voyde,1
malice,4
bad,29
prayed,1
often,16
knockt,2
repent,3
saluted,2
louting,1
quited,1
courteous,2
asked,4
if,38
know,6
straunge,10
aduentures,9
abroad,8
pas,20
how,46
alas,2
silly,4
liues,4
cell,1
bidding,5
beades,3
trespas,1
tydings,12
warre,7
worldly,5
trouble,4
tell,28
sits,2
mell,1
daunger,3
hereby,1
dwell,16
homebred,1
euill,12
desire,12
tidings,2
wasteth,1
countrey,2
neare,9
chiefly,1
inquere,3
reward,2
dayes,14
weare,6
knighthood,4
creature,12
space,4
hence,8
wastfull,4
wildernesse,4
dwelling,5
thorough,3
distresse,5
sayd,2
draweth,1
toward,3
night,50
wote,8
forwearied,3
wanting,3
want,11
sunne,9
measures,1
baite,1
steedes,5
ocean,5
emong,1
worke,15
begin,5
vntroubled,1
say,17
counsell,5
aduised,1
bin,3
wisely,7
aduise,3
spent,11
content,4
godly,9
little,12
hermitage,2
downe,43
hard,18
forests,1
side,25
resort,1
people,13
trauell,4
froe,1
wyde,12
chappell,2
edifyde,1
hermite,1
dewly,1
morne,1
euentyde,1
thereby,11
christall,4
gently,6
play,11
fountaine,6
welled,2
alway,1
arriued,10
house,22
fill,11
looke,8
entertainement,2
feast,10
noblest,2
mind,17
contentment,1
discourse,4
euening,1
pleasing,1
wordes,9
store,8
file,1
tongue,6
smooth,1
glas,4
told,18
saintes,1
popes,1
euermore,15
strowd,1
aue,1
mary,1
drouping,3
creepeth,1
humour,3
loading,1
eye,27
liddes,1
messenger,8
morpheus,4
cast,22
sweet,18
slo,1
deaw,4
sleepe,16
biddes,1
lodgings,1
guestes,1
riddes,1
drownd,3
findes,3
study,1
goes,2
amiddes,1
magick,2
artes,3
seekes,3
mighty,12
charmes,6
sleepy,1
mindes,2
choosing,1
few,7
let,39
thereof,12
verses,2
frame,8
spelles,1
terrible,1
awake,9
plutoes,3
griesly,6
dame,40
spake,8
reprochfull,5
bold,17
dar,2
call,26
name,24
gorgon,1
cocytus,1
quakes,2
styx,1
put,6
flight,9
cald,3
legions,1
sprights,3
flyes,3
fluttring,1
damned,10
hed,11
waite,3
whereto,3
seruice,11
applyes,1
aide,3
friends,4
fray,6
enimies,2
those,30
